id,title,abstract
822,Numerical simulation of medical compression stockings for venous and lymphatic disease treatment,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
983,"Mechanical analysis of tumor cell of glioblastoma by combining confocal microscopy, Digital Volume Correlation, Scanning ion confocal microscopy and finite element model",[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
250,Automatic generation of patientspecific finite element meshes of the face and oral cavity for orofacial digital twins,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
261,"A novel, intelligent and navigated robot-assisted biopsy assistance system for minimally invasive radiological interventions",[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
541,Using AI to create digital twins to accelerate Alzheimer's disease clinical trials,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
809,Effect of the application of digital technology-assisted optimization in the process of adjusting jaw position,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1044,"Multiscale dosimetric and radiobiological modeling for radiopharmaceuticaltherapy (RPT), Part 4: digitaltwins for optimized RPT and their ethical and regulatory dimensions",[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
978,A computational model predicts sex-specific responses to calcium channel blockers in mammalian mesenteric vascular smooth muscle,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
928,Development of theranostic digital twins framework to perform quantitative image analysis of radiopharmaceutical biodistributions,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
359,Theranostic Digital Twins Laboratory (TDTLab):a Platform for Numerical Experimentation withPBPK Models for Optimization ofRadiopharmaceutical Therapies,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1292,BASELINE REGIONAL FLORTAUCIPIR PROFILES IN PRECLINICAL ALZHEIMER'S DISEASE,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
306,Development of dynamic anatomical ultrasonography to advance personalised prosthetics,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
204,RESULTS OF A MODIFIED DELPHI APPROACH TO EXPERT CONSENSUS FOR A DIGITAL TWIN PATIENT MODEL IN THE ICU: ACUTE ON CHRONIC LIVER FAILURE,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1192,Leveraging the human digital twin for perioperative monitoring of pediatric patients-an early case study,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
395,USING A NOVEL ARTIFICIAL INTELLIGENCE (AI) BASED APPROACH TO ANALYZE THE CONSEQUENTIAL RISE IN NON-COVID-19 MORTALITY DURING THE COVID-19 PANDEMIC,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
502,Optimizing therapeutic regimens via digital twins to improve triple negative breast cancer response to neoadjuvant therapy,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1011,The Wound Environment Agent-based Model (WEABM): a digital twin platform for characterization and complex therapeutic discovery for volumetric muscle loss,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
