id,include,confidence,reasoning
900, N,high,Digital twin models an optical parametric oscillator not a human biological or clinical system
901, Y,high,Patient specific cardiac digital twin simulates ventricular conduction matching clinical ECG using CMR informed Eikonal models
902, N,high,Focuses on microbial bioprocess development digital twins not human biological or clinical systems
903, N,high,Mentions digital twins as potential future technology without describing a specific human digital twin system
904, Y,high,Whole-body digital twin integrates IoT data to monitor biology and inform clinical care
905, N,high,Focuses on city-scale geospatial digital twin platform not a human digital twin for healthcare
906, N,medium,Title lacks clear indication of human digital twin simulating clinical systems
907, N,high,Discusses metaverse applications in laboratory medicine not human digital twin simulating or monitoring human systems
908, N,high,Digital twin models TEM instrument for cryo-ET not a human biological or clinical system
909, Y,high,Personalized physiologically based model simulates alcohol intake and predicts PEth biomarker dynamics for individual patients
910, N,medium,Mentions digital twins but demonstrates a general modeling framework without a clear human digital twin implementation
911, N,high,Discusses plant stress digital twin not human healthcare or clinical simulation
912, Y,high,Describes individualized pharmacometric simulations matching patient observations creating digital twins for hematotoxicity and glucose insulin dynamics
913, Y,medium,Describes a patient-specific MS digital twin monitoring data to tailor care and deliver feedback to patients
914, N,high,Digital twin of manufacturing probe not of a human biological or clinical system
915, N,high,Model simulates population level epidemic trends not an individual human biological or clinical system
916, N,high,Digital twin models an air conditioner material not a human biological or clinical system
917, Y,high,Cardiac digital twin simulates human ECG and infers myocardial tissue properties for infarction
918, N,high,Describes a building digital twin for ventilation not a human biological or clinical digital twin
919, N,high,Describes a digital twin of the exoskeleton device not a human biological system
920, N,high,Focuses on digital twins for rail equipment health management not human biological or clinical systems
921, Y,medium,Integrates patient sensors and medical history into a digital twin to monitor health and provide individualized assessment
922, Y,high,Patient-specific cardiac digital twins simulate pacing and predict post-CRT remodeling using individualized baseline data
923, N,high,Legal conceptual analysis of personal digital twins without clinical simulation or patient monitoring details
924, N,high,Focuses on fluid mechanics surrogates and general digital twin methods not human healthcare digital twins
925, Y,high,Uses a whole body digital twin platform integrating sensor data to monitor patients and guide T2DM care
