id,include,confidence,reasoning
250,N,high,Conference abstract only not full article text
541,N,high,Conference abstract only lacking peer reviewed full text despite mentioning human digital twin controls
928,N,high,Abstract only in meeting supplement not full peer reviewed article
359,N,high,Conference abstract only not full text available
1292,N,high,Conference abstract only not full text
1192,N,high,Appears to be a conference abstract not a peer reviewed full text study
502,N,high,Review article not reporting creation or evaluation of a real human digital twin
446,N,high,Conference abstract only and does not provide peer-reviewed full text or explicit human digital twin creation claim
771,N,high,Abstract only and not a full peer reviewed article
407,Y,high,Original peer reviewed English study creating and validating a human mandibular digital twin using patient CT data
167,N,high,Abstract only no full text available
966,N,high,Abstract only no full text available
1245,N,high,Conference abstract poster only not full text
431,N,high,Abstract only lacks full text and does not create or evaluate a non theoretical human digital twin
104,N,high,Abstract only without full text available
1146,N,high,Abstract only without full text though it evaluates a human digital twin in diabetes cohorts
486,N,high,Only abstract available not a full text peer reviewed article
889,N,high,Abstract only no full text available
642,N,high,Abstract only and lacks peer-reviewed full text available
29,N,high,Abstract only not full text peer-reviewed study despite mentioning human digital twin
337,N,high,Abstract only no full text available
322,N,high,Abstract only not full text article
1332,N,high,Abstract only not full text despite claiming digital twin use in humans
524,N,high,Abstract only conference supplement not full text peer reviewed article
84,N,high,Conference abstract only no full text available
625,N,high,Abstract only without full text so fails inclusion criteria
975,N,high,Conference supplement abstract only not full text despite mentioning a human atrial digital twin
1033,N,high,Abstract only without peer reviewed full text and no clear creation or evaluation of a human digital twin
754,N,high,Abstract only not full text and not a peer reviewed full article
118,N,high,Protocol proposing future HDTs without reporting creation or evaluation of a non theoretical human digital twin
811,Y,high,Peer reviewed research creating and evaluating patient specific human cardiac digital twins using clinical imaging and patient data
821,N,high,Abstract only no full text peer reviewed article available
885,N,high,Abstract only in supplement not full peer reviewed article despite digital twin evaluation
986,N,high,This is an abstract only not a full text article
1019,Y,high,Full text peer-reviewed original study developed and prospectively tested a human digital twin model
463,N,high,Abstract only no full text although it mentions a patient specific human digital twin
1257,N,high,Abstract only not full text
267,N,high,Abstract only not full text thus fails inclusion despite claiming human digital twin intervention
1172,Y,medium,Peer reviewed study builds patient specific human atrial models described as digital twins and evaluates them
157,N,high,Abstract only not full text despite evaluating a human digital twin
961,N,high,Abstract only not full text
968,N,high,Abstract only no full text available
1016,N,high,Abstract only no full text available
1001,N,high,Abstract only not full text
948,N,high,Digital twin built on rabbit cardiac models not a human digital twin
682,Y,high,Evaluates a clinical program using digital twin technology in humans with full English text
877,N,high,Conference abstract only not full text despite mentioning digital twin thus fails inclusion criteria
533,N,high,Only an abstract not a peer reviewed full text article
242,N,high,Conference abstract only not a full peer reviewed article
1157,Y,high,Peer reviewed original research creates patient specific human heart digital twins using clinical data and evaluates them
687,Y,medium,Claims implemented human digital twin and evaluates with human radiographs in a peer reviewed English article
1102,N,high,Not peer reviewed original research and is a conference report article not meeting inclusion criteria
609,Y,high,Claims creation of patient-specific human digital twin implemented in mixed reality training peer-reviewed original English article
595,N,high,Conference abstract only not full peer reviewed article though it evaluates a human digital twin
576,N,high,Only abstract available without full text
63,N,high,Abstract-only conference supplement not full text available
665,N,high,Abstract only with no full text available despite mentioning a human digital twin
210,Y,high,Full text peer reviewed article implements a human multiple myeloma digital twin with non theoretical evaluation in English
1207,N,high,Full text unavailable and only an abstract certificate from a conference not a peer-reviewed full article
658,N,high,Review article and expert opinion does not create or evaluate a non theoretical human digital twin
477,N,high,Abstract only not full text despite assessing a human digital twin intervention
417,N,high,Article is in German and is a review without creating or evaluating a concrete human digital twin
793,N,high,Abstract only poster with no full text available
77,N,high,Poster abstract only not full peer reviewed article
9,N,high,Presents a framework and models for digital twins but does not create or evaluate a human digital twin
1048,N,high,Abstract only not full text despite mention of human digital twins
615,N,high,Abstract only no full text available
523,N,medium,No explicit claim of creating or evaluating a human digital twin despite keyword mention
925,N,high,Abstract only not full text despite referencing a human digital twin intervention
30,Y,high,Peer reviewed original research creating and evaluating a patient specific human digital twin in English
129,N,high,Abstract only and does not create or evaluate a non theoretical human digital twin
1167,N,high,Abstract only not full text despite claiming creation of a human digital twin
80,N,high,Preprint introducing BLNMs not peer reviewed and does not claim creating a human digital twin
471,N,high,Commentary only with conceptual human digital twins no creation or evaluation of non theoretical twins
706,N,high,Conference poster abstract only not full text available
913,N,high,Abstract only does not describe creation or evaluation of a human digital twin
1111,N,high,Abstract only not full text
1107,N,high,Abstract only poster not full peer-reviewed article despite mentioning human digital twins
51,N,high,Does not claim creation or evaluation of a human digital twin despite discussing digital twin concepts
17,Y,high,Original peer reviewed English study implemented a human digital twin avatar evaluated on patients using 3D camera
618,N,high,Abstract only conference poster not peer reviewed uses synthetic data not real human digital twins
1130,Y,high,Full text peer reviewed study evaluates a patient specific human digital twin for liver surgery in English
1118,N,high,Conference abstract only not a full peer reviewed article
1101,N,high,Abstract only not full peer-reviewed article and no non-theoretical human digital twin created
289,Y,high,Claims and validates a human digital twin virtual patient for ventilation using real ICU data
867,N,high,Abstracts only not full peer reviewed articles and no explicit human digital twin creation or evaluation
131,Y,high,Peer reviewed study creates and evaluates patient specific human digital twins using clinical data
181,N,high,Abstract only not full text
479,N,high,Abstract poster only not peer reviewed full text
946,N,high,Abstract only in journal supplement not full text peer reviewed article
627,N,high,Not peer reviewed preprint
939,N,high,Review article discusses digital twins without creating or evaluating a human digital twin
260,Y,high,Original research creating and evaluating patient specific ventricular digital twins in humans and published peer reviewed in English
399,N,high,Appears to be an abstract only not full text available
779,Y,high,Peer-reviewed human study creating and evaluating patient-specific digital twins in English with full text available
1152,N,high,Appears to be an abstract only and does not explicitly claim creation of a human digital twin
232,N,high,Abstract only no full text available
312,Y,high,Implements and evaluates patient specific human digital twin models using clinical data in a peer reviewed English article
790,N,high,Preprint not peer reviewed despite claiming a human digital twin model evaluated on patient data
730,N,high,Review article that does not itself create or evaluate a non theoretical human digital twin
324,N,high,Digital twin is for porcine hearts not human patients
1298,N,high,Abstract only lacking full text and not a peer reviewed publication
