id,include,confidence,reasoning
822,N,medium,"Textile twin only; human limb twin is mentioned but not described or implemented"
983,N,medium,"States a human cell digital twin can be created but does not implement one"
250,Y,high,"Patient-specific FE models of orofacial anatomy simulate phoneme biomechanics demonstrating a functional human digital twin"
261,N,high,"Creates a digital twin of the procedure only and not a human biological or clinical system"
541,Y,high,"Creates AI digital twin controls simulating individual Alzheimer progression for clinical trial control arms using clinical variables"
809,N,medium,"Mentions digital twins but describes static CT MRI based planning without explicit digital twin model"
1044,N,high,"Conceptual ethical discussion of DTs for RPT without describing an implemented human digital twin system"
978,N,high,"Murine computational model not a human digital twin nor monitoring a human biological or clinical system"
928,Y,high,"Describes PBPK-driven digital twins simulating patient biodistribution and imaging for dosimetry in radiopharmaceutical therapy"
359,Y,high,"Describes software enabling patient specific PBPK models simulating human pharmacokinetics for therapy optimization as digital twins"
1292,Y,high,"Applies patient-level digital twins to predict amyloid PET positivity using multimodal biomarkers and clinical data"
306,N,high,"Only proposes a future digital twin; current work is ultrasound monitoring without a human digital twin"
204,N,high,"Builds consensus for ACLF digital twin but no actual patient specific simulation or monitoring described"
1192,Y,high,"Case study uses wearable data to create a human digital twin for monitoring post-surgery recovery metrics"
395,N,high,"Employs risk-matched digital twinning for population analysis rather than simulating or monitoring individual biological systems"
502,Y,high,"Patient-specific digital twins simulate tumor response using MRI-informed mechanistic models to optimize therapy schedules in TNBC"
1011,N,medium,"Describes a modeling platform and proposed cyber physical DT schema not an implemented human digital twin simulating patients"
446,Y,high,"Patient-specific cardiovascular model simulates Glenn hemodynamics to estimate PVR using imaging and catheter data"
771,Y,high,"Describes a residuum digital twin integrating sensor data for real time personalized monitoring and simulation"
41,N,high,"Mentions sample digital twins for data storage without modeling or monitoring a human biological or clinical system"
407,Y,high,"Creates and validates a patient specific mandible digital twin simulating biomechanics for treatment planning under impact loading"
167,Y,high,"Describes patient-specific digital twin simulating physiology and treatments for cardiogenic shock with clinical calibration and validation"
966,Y,high,"Presents a real-time digital twin simulating amputee residuum stress-strain for personalized prosthesis monitoring and design"
960,N,high,"Architecture for digital twins in healthcare without clear human twin simulating or monitoring biological or clinical systems"
1272,N,medium,"Conceptual use of digital twin organs for AR navigation lacks clear simulation or monitoring of patients"
202,N,high,"Focuses on ergonomics and Industry 4.0 not healthcare HDTs simulating biological or clinical systems"
1245,Y,high,"Assigns a digital twin per patient to simulate mucosal healing over time and predict treatment response"
431,Y,high,"They refine expert rules for an ICU patient digital twin simulating respiratory pathophysiology for clinical decision support"
786,N,high,"Population level digital twin for policy modeling not an individual human biological or clinical system simulation"
375,N,high,"Decision support mirrors tumor board guidelines not a patient digital twin simulating or monitoring human biology"
104,Y,high,"Uses a whole body digital twin to predict individual postprandial glucose and guide treatment using CGM data"
1146,Y,high,"Whole body digital twin simulates glucose responses and guides individualized T2D management using patient sensor data"
1027,N,high,"Describes digital twins of medical devices for telemedicine not a human digital twin modeling patient biology"
486,Y,high,"Real-time patient-driven organ digital twin maps respiratory motion to guide puncture and compensate target offset"
872,N,high,"Excludes clinical digital twins and focuses on system and process management not human biological simulations"
889,Y,high,"Personalized real-time cardiac digital twin replicates a subject's 12-lead ECG and simulates electrophysiology for clinical use"
642,Y,high,"Builds patient-specific digital twins predicting treatment responses and survival using gene expression and clinical data"
709,N,high,"Mentions digital twins as an opportunity without describing a human digital twin implementation or simulation"
29,Y,high,"RCT uses a whole-body digital twin to monitor data and simulate glucose responses for individualized treatment"
337,Y,high,"Uses a whole-body digital twin with sensor data to monitor patients and guide precision nutrition for diabetes remission"
99,N,high,"Digital twin models rat cardiomyocyte monolayer not human clinical system"
322,Y,high,"Generates patient-specific cardiovascular digital twins from imaging to simulate tissue properties and track arrhythmogenic cardiomyopathy progression"
1332,Y,high,"Clinical digital twin monitors and simulates glucose responses using CGM to tailor nutrition in diabetes care"
527,N,high,"Mentions digital twins conceptually without describing a concrete human digital twin simulating or monitoring patients"
670,N,high,"Only mentions potential manufacturing digital twins without simulating or monitoring any human biological or clinical system"
1080,N,high,"Digital twin models a bioreactor device not a human biological or clinical system"
524,Y,high,"Personalized cardiac digital twin simulates patient arrhythmia and tests ablation strategies using ECGI and endocardial data"
217,N,medium,"Describes cohort-level clustering not individualized digital twin simulating or monitoring a patient's biological system"
84,Y,medium,"Creates realistic patient digital twins to simulate PSMA imaging and dosimetry for tumor segmentation and quantification"
625,Y,high,"Patient-specific digital twin integrates MRI and mechanistic modeling to predict tumor response to therapy in TNBC"
975,Y,high,"Includes a digital twin of the human atria simulating arrhythmia conditions and pseudo electrograms"
1033,Y,medium,"Patient-specific digital twin integrates clinical data to enable predictive simulations and decision support"
24,N,high,"Portal overview mentions digital twins without describing a human digital twin simulating or monitoring biological systems"
754,Y,medium,"Trial uses a whole body digital twin to personalize nutrition for diabetes using CGM and IoT monitoring"
118,Y,medium,"Proposes developing digital twins to simulate individualized life course clinical risk and enable monitoring and intervention"
942,N,medium,"Hybrid biophantom simulates tumors for imaging and planning but not a clear patient-specific digital twin"
811,Y,high,"Creates patient-specific cardiac digital twins using clinical imaging to simulate heart mechanics and disease substrates"
211,N,high,"Twins are matched historical patients not simulations or monitoring of patient physiology"
821,Y,high,"PBPK-based digital twin simulates patient organ doses and salivary gland blood flow effects during radiopharmaceutical therapy"
773,N,high,"Manufacturing training platform digital twin modules do not simulate human biological systems or healthcare monitoring"
608,N,high,"Digital twin models the campus environment not a human biological or clinical system"
455,N,medium,"Concept review mentions digital twins but not a human digital twin simulating or monitoring biology"
885,Y,high,"Patient-specific cardiac digital twin simulates ventricular electrophysiology and LAT maps validated against clinical mapping"
986,Y,high,"Describes a virtual patient digital twin simulating physiologic responses to interventions for critical care education"
1019,Y,high,"Develops and prospectively tests a patient digital twin simulating organ systems and predicting treatment responses in sepsis"
463,Y,high,"Describes patient specific digital twin simulating airway to predict OSA and evaluate therapies using imaging and CFD"
470,N,high,"Reviews NFTs in healthcare mentioning digital twins as use case without describing human biological simulation or monitoring"
1257,Y,high,"Constructs patient-specific cardiac digital twins calibrated to ECG to simulate human heart electrophysiology"
267,Y,medium,"Intervention explicitly uses a whole body digital twin with IoT to monitor and guide diabetes treatment"
1172,Y,high,"Patient specific left atrial models simulate electrophysiology directly describing a human organ digital twin"
1088,N,high,"Finite element model for pedicle screw fatigue only suggests future digital twin use not an implemented human digital twin"
157,Y,medium,"Uses a digital twin integrating sensor and clinical data to monitor body composition and guide personalized diets"
150,N,high,"A scientometric review lacking concrete human digital twins simulating or monitoring biological or clinical systems"
1293,N,high,"A review of healthcare system digital twins not specific human biological simulations or monitoring"
1036,N,high,"Digital twin models an ovine mandible not a human system so not a human digital twin"
125,N,high,"It models liver fibrosis using mouse data and does not clearly describe a human digital twin"
961,Y,high,"Uses digital twin integrating sensor data to predict glucose response monitoring human physiology in clinical context"
968,Y,high,"Patient-specific MRI-calibrated model simulates tumor dynamics as a digital twin predicting neoadjuvant therapy response"
720,N,high,"Digital twin denotes matched control patient not simulating or monitoring a human biological system"
1016,Y,high,"Digital twin predicts personal glucose response using CGM monitoring and clinical data in diabetes management"
1001,Y,high,"Describes a personalized physics based human digital twin for rehabilitation simulating musculoskeletal dynamics with EMG driven individual specificity"
948,Y,medium,"Presents a multiscale neurocardiac digital twin prototype simulating autonomic effects on the heart for therapy prediction"
682,Y,medium,"Implements digital twin technology with continuous glucose monitoring to monitor glycemia and guide individualized nutrition"
877,Y,high,"Patient specific digital twin tumors simulate treatment response using MRI and clinical data thus directly modeling human tumors"
533,Y,medium,"Describes a patient specific digital twin platform monitoring real-time clinical data and informing personalized nutrition and health recommendations"
242,Y,high,"Describes patient specific digital twins simulating TCPC anatomy and hemodynamics for treatment planning and outcome prediction"
1157,Y,high,"Develops and applies patient-specific cardiac digital twins for simulating tissue properties and monitoring arrhythmogenic cardiomyopathy progression"
687,Y,medium,"Implements a digital twin that monitors cervical vertebral maturation via image based deep learning within a clinical platform"
1102,Y,high,"They build individualized digital twins simulating thalamic atrophy trajectories to estimate MS progression before clinical onset"
609,Y,medium,"Patient specific digital twin of brain anatomy used in mixed reality to simulate neurosurgery training"
252,N,high,"Describes an AI model development platform rather than a human digital twin of a patient"
595,Y,high,"Uses a whole-body digital twin to monitor patient physiology and guide clinical nutrition interventions"
797,N,high,"Mentions digital twins as potential framework without describing a concrete human digital twin system"
21,N,high,"Factory digital twin focusing on industrial systems and worker behavior not human biological or clinical simulation"
1026,N,high,"Uses matched healthy controls labeled digital twin without patient specific simulation or monitoring"
576,Y,high,"Personalized platform integrates sensors and clinical data to model and monitor individual glucose physiology for treatment"
1199,N,high,"Uses population simulations to train a classifier not a personalized human digital twin monitoring a patient"
737,N,high,"Discusses digital twinning in livestock pig systems not human biological or clinical digital twins"
400,N,high,"Generic musculoskeletal simulation and control only with digital twin mentioned as future possibility"
991,N,high,"Does not describe a human digital twin directly simulating or monitoring a human system"
